SMILES	hitc
BrC(Br)C(Br)(Br)Br	0
BrC(Br)C(Br)Br	0
BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br	0
BrCBr	0
BrCC(Br)(Br)Br	0
BrCC(Br)C1CCC(Br)C(Br)C1	0
BrCC1CO1	0
BrCC=CCBr	0
BrCCBr	0
BrCCCBr	0
BrCCCCBr	0
BrCCCCCBr	0
BrCCCCCCBr	0
BrCCOc1ccccc1	0
BrCCc1ccccc1	0
BrCc1ccc(Br)cc1	0
BrCc1ccccc1	0
Brc1c(Br)c(Br)c(Br)c(Br)c1Br	0
Brc1c(NC2=NCCN2)ccc2nccnc12	0
Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br	0
Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br	0
Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br	0
Brc1cc2ccccc2c2ccccc12	0
Brc1ccc(-c2ccccc2)cc1	0
Brc1ccc(Br)c(Br)c1	0
Brc1ccc(Br)cc1	0
Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	0
Brc1ccc(Oc2ccc(Br)cc2)cc1	0
Brc1cccc(-c2ccccc2)c1	0
Brc1ccccc1	0
Brc1ccccc1-c1ccccc1	0
Brc1nc2ccccc2s1	0
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1	0
C#CC(C)(C)O	0
C#CC(C)(O)CC	0
C#CC(C)(O)CC(C)C	0
C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1	0
C#CC(O)C(CC)CCCC	0
C#CC(O)CCCCC	0
C#CC1(O)CCCCC1	0
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1	0
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O	0
C#CCN(C)C(C)Cc1ccccc1	0
C#CCN1C(=O)COc2cc(F)c(N3C(=O)C4=C(CCCC4)C3=O)cc21	0
C#CCN1CC(=O)N(COC(=O)C2C(C=C(C)C)C2(C)C)C1=O	0
C#CCNC1CCc2ccccc21	0
C#CCO	0
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1	0
C#CCOC(=O)[C@@H](C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1	0
C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1	0
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1	0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	0
C(=C/c1cc(/C=C/c2ccccc2)nc(NCc2ccccc2)n1)\c1ccccc1	0
C(=C/c1cc(NCc2ccccc2)nc(NCc2ccccc2)n1)\c1ccccc1	0
C(=C/c1cc(OCc2ccccc2)nc(OCc2ccccc2)n1)\c1ccccc1	0
C(=CCC=Nc1ccccc1)C=Nc1ccccc1	0
C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1	0
C(COCC1CO1)OCC1CO1	0
C/C(=N\C#N)N(C)Cc1ccc(Cl)nc1	0
C/C=C/C=C/C(=O)O	0
C/C=C/C=C/CCCCCCCO	0
C/C=C/c1ccc(OC)cc1	0
C/C=C\C/C=C/CCCCCCCCOC(C)=O	0
C1=CC2C3C=CC(C3)C2C1	0
C1=CCC(c2ccccc2)CC1	0
C1=CCC2CC=CC2C1	0
C1=CCC=C1	0
C1=CCCC=CCC1	0
C1=CCCC=CCCC=CCC1	0
C1=COCCC1	0
C1=Cc2cccc3cccc1c23	0
C1C2OC2C2C1C1CC2C2OC12	0
C1CC(COCC2CO2)CCC1COCC1CO1	0
C1CC2C3CCC(C3)C2C1	0
C1CC2OC2CC1C1CO1	0
C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1	0
C1CCC(C2CCCCC2)CC1	0
C1CCC2(CCCCO2)OC1	0
C1CCC2=NCCCN2CC1	0
C1CCC2CCCCC2C1	0
C1CCCC1	0
C1CCCCC1	0
C1CCCCCCCCCCC1	0
C1CCCNCC1	0
C1CCCNCCC1	0
C1CCN(CN2CCCCC2)CC1	0
C1CCN2CC3CC(CN4CCCCC34)C2C1	0
C1CCOC1	0
C1CCc2nnnn2CC1	0
C1CN(CCOCCN2CCOCC2)CCO1	0
C1CN(P2(N3CC3)=NP(N3CC3)(N3CC3)=NP(N3CC3)(N3CC3)=N2)CCO1	0
C1CN(SSN2CCOCC2)CCO1	0
C1CN2CCN1CC2	0
C1CNCCN1	0
C1COC(NC(C2CC2)C2CC2)=N1	0
C1COC1	0
C1COCCN1	0
C1COCO1	0
C1CS1	0
C1CSCCS1	0
C1N2CN3CN1CN(C2)C3	0
C1OCOCO1	0
C=C(C#N)CCC#N	0
C=C(C)C#N	0
C=C(C)C(=O)NCCCN(C)C	0
C=C(C)C(=O)NCCC[N+](C)(C)C	0
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1	0
C=C(C)C(=O)O	0
C=C(C)C(=O)OC	0
C=C(C)C(=O)OC(C)C	0
C=C(C)C(=O)OC1CC(C)CC(C)(C)C1	0
C=C(C)C(=O)OC1CC2CCC1(C)C2(C)C	0
C=C(C)C(=O)OCC	0
C=C(C)C(=O)OCC(C)C	0
C=C(C)C(=O)OCC(C)O	0
C=C(C)C(=O)OCC(CC)CCCC	0
C=C(C)C(=O)OCC1CCCO1	0
C=C(C)C(=O)OCC1CO1	0
C=C(C)C(=O)OCCC(C)OC(=O)C(=C)C	0
C=C(C)C(=O)OCCCC	0
C=C(C)C(=O)OCCCCCC	0
C=C(C)C(=O)OCCCCCCCC(C)C	0
C=C(C)C(=O)OCCCCCCCCCC	0
C=C(C)C(=O)OCCCCCCCCCCCC	0
C=C(C)C(=O)OCCCCCCCCCCCCC	0
C=C(C)C(=O)OCCCCCCCCCCCCCCCCCC	0
C=C(C)C(=O)OCCCCCCCCCCOC(=O)C(=C)C	0
C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C	0
C=C(C)C(=O)OCCCCOC(=O)C(=C)C	0
C=C(C)C(=O)OCCC[Si](Cl)(Cl)Cl	0
C=C(C)C(=O)OCCC[Si](OC)(OC)OC	0
C=C(C)C(=O)OCCN(C)C	0
C=C(C)C(=O)OCCN(CC)CC	0
C=C(C)C(=O)OCCNC(C)(C)C	0
C=C(C)C(=O)OCCOC(=O)C(=C)C	0
C=C(C)C(=O)OCCOC(=O)CC(C)=O	0
C=C(C)C(=O)OCCOC1=CCC2C3C=CC(C3)C12	0
C=C(C)C(=O)OCCOC1CC2CC1C1C=CCC21	0
C=C(C)C(=O)OCCOCC	0
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C	0
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C	0
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C	0
C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C	0
C=C(C)C(=O)OCCOc1ccccc1	0
C=C(C)C(=O)OCC[N+](C)(C)C	0
C=C(C)C(=O)OCc1ccccc1	0
C=C(C)C(=O)O[Sn](CCCC)(CCCC)CCCC	0
C=C(C)C(N)=O	0
C=C(C)C1CC=C(C)C(O)C1	0
C=C(C)C1CC=C(C)C(OC(C)=O)C1	0
C=C(C)C1CC=C(C)CC1	0
C=C(C)C1CC=C(C=O)CC1	0
C=C(C)C1CCC(C)(O)CC1	0
C=C(C)C1CCC(C)CC1O	0
C=C(C)C1CCC2=CC(=O)CC(C)C2(C)C1	0
C=C(C)C1CNC(C(=O)O)C1CC(=O)O	0
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	0
C=C(C)CC(C)(C)C	0
C=C(C)CCCC(C)CCO	0
C=C(C)CCl	0
C=C(C)CS(=O)(=O)O	0
C=C(C)OC(C)=O	0
C=C(C)[C@@H]1CC=C(C)C(=O)C1	0
C=C(C)[C@H]1CC=C(C)C(=O)C1	0
C=C(C)[C@H]1CC=C(C)CC1	0
C=C(C)c1cccc(C(=C)C)c1	0
C=C(C)c1cccc(C(C)(C)N=C=O)c1	0
C=C(CC(=O)O)C(=O)O	0
C=C(CC)CCCC(C)(C)O	0
C=C(Cl)CCl	0
C=C(Cl)CSC(=S)N(CC)CC	0
C=C(Cl)Cl	0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O	0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O	0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O	0
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)OCCC(C)(C)O)CC(O)CC1O	0
C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21	0
C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21	0
C=C1C2CCC(C2)C1(C)C	0
C=C1C2CCC3C2C(C)(C)CCCC13C	0
C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C	0
C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O	0
C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CC(OC2OC(CO)C(O)C(OC4OC(CO)C(O)C(O)C4O)C2OC2OC(CO)C(O)C(O)C2O)C1C3	0
C=C1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(C)=O	0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C	0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCC(O)C(C)(C)O	0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O	0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	0
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5	0
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O	0
C=C1CCC2CC1C2(C)C	0
C=C1CCC=C(C)CCC2C1CC2(C)C	0
C=C1CC[C@H]2C[C@@H]1C2(C)C	0
C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O	0
C=C1c2c(Cl)ccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12	0
C=C1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12	0
C=CC#N	0
C=CC(=C)C	0
C=CC(=C)CCC=C(C)C	0
C=CC(=C)CCCC(C)(C)OC(C)=O	0
C=CC(=O)CC	0
C=CC(=O)CCCCC	0
C=CC(=O)N1CCOCC1	0
C=CC(=O)NC(C)(C)C	0
C=CC(=O)NC(C)(C)CC(C)=O	0
C=CC(=O)NC(C)(C)CS(=O)(=O)O	0
C=CC(=O)NC(C)C	0
C=CC(=O)NCNC(=O)C=C	0
C=CC(=O)NCOCC(C)C	0
C=CC(=O)O	0
C=CC(=O)OC	0
C=CC(=O)OC(C)(C)C	0
C=CC(=O)OCC	0
C=CC(=O)OCC(C)C	0
C=CC(=O)OCC(CC)CCCC	0
C=CC(=O)OCC(O)COc1ccccc1	0
C=CC(=O)OCC1CC2CC1C1CCC(COC(=O)C=C)C21	0
C=CC(=O)OCC1CCCO1	0
C=CC(=O)OCCC#N	0
C=CC(=O)OCCC(=O)O	0
C=CC(=O)OCCCC	0
C=CC(=O)OCCCCCC	0
C=CC(=O)OCCCCCC(C)C	0
C=CC(=O)OCCCCCCCC	0
C=CC(=O)OCCCCCCCC(C)C	0
C=CC(=O)OCCCCCCCCCC	0
C=CC(=O)OCCCCOC(=O)C=C	0
C=CC(=O)OCCCl	0
C=CC(=O)OCCN(C)C	0
C=CC(=O)OCCO	0
C=CC(=O)OCCOC(=O)CCC(=O)O	0
C=CC(=O)OCCOCC(CC)(COCCOC(=O)C=C)COCCOC(=O)C=C	0
C=CC(=O)OCCOCCOCC	0
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C	0
C=CC(=O)OCCOc1ccccc1	0
C=CC(=O)OCC[N+](C)(C)C	0
C=CC(C)(C)C	0
C=CC(C)(C)CC(=O)OC	0
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C	0
C=CC(C)(CCC=C(C)C)OC(=O)CC	0
C=CC(C)(CCC=C(C)C)OC(=O)CC(C)C	0
C=CC(C)(CCC=C(C)C)OC(=O)c1ccccc1N	0
C=CC(C)(CCC=C(C)C)OC(C)=O	0
C=CC(C)(CCC=C(C)C)OC=O	0
C=CC(C)(O)CCC1C(C)(O)CCC2C(C)(C)CCCC21C	0
C=CC(C)(O)CCC=C(C)C	0
C=CC(C)(O)CCC=C(C)CC	0
C=CC(C)(O)CCC=C(C)CCC=C(C)C	0
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C	0
C=CC(C)=CCC=C(C)CCC=C(C)C	0
C=CC(C)=O	0
C=CC(C)CCC=C(C)C	0
C=CC(C)CCCC(C)(C)O	0
C=CC(Cl)CCl	0
C=CC(N)=O	0
C=CC(N)CCC(=O)O	0
C=CC(O)CCCCC	0
C=CC(OCC)OCC	0
C=CC1(C)CC(OC(=O)CO)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O	0
C=CC1(C)CC(OC(=O)CSC(C)(C)CNC(=O)C(N)C(C)C)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O	0
C=CC1(C)CC(OC(=O)CSCCN(CC)CC)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O	0
C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O	0
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOCC(=O)O)c3csc(N)n3)C2SC1	0
C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N=O)c3csc(N)n3)C2SC1	0
